Sample,Title,Tissue,Ecotype,Genotype,Treatment,Project,TotalReads,UniqelyMappedRate,
DRX007662,Arabidopsis WT-Col mRNA_seq,--,Col-0,wild type,--,PRJDB2180,30664389,0.8615,
DRX007663,Arabidopsis ibm1-4 mRNA_seq,--,Col-0,ibm1-4,--,PRJDB2180,38551905,0.9114,
DRX007664,Arabidopsis ibm2-2 mRNA_seq,--,Col-0,ibm2-2,--,PRJDB2180,37223057,0.8343,
DRX014481,Y1,root,--,wild type,--,PRJDB1593,95012910,0.8982,
DRX014482,Y2,root,--,wild type,--,PRJDB1593,163269003,0.9293,
DRX014483,Y9,root,--,max1-1,--,PRJDB1593,182427758,0.9305,
DRX014484,Y10,root,--,max1-1,--,PRJDB1593,109750057,0.9298,
DRX014485,Y11,root,--,max1-1,--,PRJDB1593,167993289,0.9242,
DRX014494,RNA-seq of Arabidopsis ros1-3 plants under dehydration conditions,whole plant,--,wild type,--,PRJDB2508,12147911,0.9303,
DRX014495,RNA-seq of Arabidopsis ros1-3 plants under saline stress conditions,whole plant,--,wild type,--,PRJDB2508,17347800,0.8989,
DRX014496,RNA-seq of Arabidopsis ros1-3 plants under ABA conditions,whole plant,--,wild type,--,PRJDB2508,12516488,0.8799,
DRX014497,RNA-seq of Arabidopsis ros1-3 plants under mock conditions,whole plant,--,wild type,--,PRJDB2508,13572284,0.9061,
DRX014498,RNA-seq of Arabidopsis wildtype plants under dehydration conditions,whole plant,--,ros1-3 mutant,--,PRJDB2508,14718410,0.9244,
DRX014499,RNA-seq of Arabidopsis wildtype plants under saline stress conditions,whole plant,--,ros1-3 mutant,--,PRJDB2508,12516488,0.8799,
DRX014500,RNA-seq of Arabidopsis wildtype plants under ABA conditions,whole plant,--,ros1-3 mutant,--,PRJDB2508,12816639,0.8755,
DRX014501,RNA-seq of Arabidopsis wildtype plants under mock conditions,whole plant,--,ros1-3 mutant,--,PRJDB2508,15756706,0.8678,
DRX014502,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under ABA conditions,whole plant,--,dml2;3 mutant,--,PRJDB2508,16500234,0.9282,
DRX014503,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under mock conditions,whole plant,--,dml2;3 mutant,--,PRJDB2508,12068156,0.936,
DRX014504,RNA-seq of Arabidopsis dml2;3 (dd) plants under ABA conditions,whole plant,--,dml2;3 mutant,--,PRJDB2508,10330348,0.9451,
DRX014505,RNA-seq of Arabidopsis dml2;3 (dd) plants under mock conditions,whole plant,--,dml2;3 mutant,--,PRJDB2508,14262187,0.9324,
DRX014506,RNA-seq of Arabidopsis dml2;3 (dd) plants under dehydration conditions,whole plant,--,ros1dml2;3 mutant,--,PRJDB2508,12068156,0.936,
DRX014507,RNA-seq of Arabidopsis dml2;3 (dd) plants under saline stress conditions,whole plant,--,ros1dml2;3 mutant,--,PRJDB2508,10330348,0.9451,
DRX014508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under dehydration conditions,whole plant,--,ros1dml2;3 mutant,--,PRJDB2508,12458301,0.8779,
DRX014509,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under saline stress conditions,whole plant,--,ros1dml2;3 mutant,--,PRJDB2508,10919328,0.9214,
DRX014760,Col-0 rep1,seedlings,Col-0,wild type,--,PRJDB2380,11879962,0.7388,
DRX014761,Col-0 rep2,seedlings,Col-0,wild type,--,PRJDB2380,14640751,0.7499,
DRX014762,RNA Seq of rfl2_5,seedlings,Col-0,rfl2,--,PRJDB2380,14744964,0.7357,
DRX014763,RNA Seq of rfl2_6,seedlings,Col-0,rfl2,--,PRJDB2380,13603449,0.7364,
