Sample	Title	Tissue	Ecotype	Genotype	Treatment	Project	TotalReads	UniqelyMappedRate	Unnamed: 9
DRX014760	Col-0 rep1	seedlings	Col-0	wild type	--	PRJDB2380	11879962	0.7388	
DRX014762	RNA Seq of rfl2_5	seedlings	Col-0	rfl2	--	PRJDB2380	14744964	0.7357	
DRX029882	WT_1	whole plant	Col-0	--	--	PRJDB3468	3927300	0.8899	
DRX064451	Ctrl_1	root	Col-0	--	Mock	PRJDB5141	20137756	0.9228	
DRX064452	N_1	root	Col-0	--	#NAME?	PRJDB5141	19725062	0.9308	
DRX064453	K_1	root	Col-0	--	#NAME?	PRJDB5141	19143287	0.929	
DRX064454	Ca_1	root	Col-0	--	#NAME?	PRJDB5141	22171345	0.9495	
DRX064455	Mg_1	root	Col-0	--	#NAME?	PRJDB5141	21279018	0.9262	
DRX064456	P_1	root	Col-0	--	#NAME?	PRJDB5141	19683272	0.9303	
DRX064457	S_1	root	Col-0	--	#NAME?	PRJDB5141	21640246	0.9144	
DRX064458	B_1	root	Col-0	--	#NAME?	PRJDB5141	21225643	0.9302	
DRX064459	Fe_1	root	Col-0	--	#NAME?	PRJDB5141	19547010	0.9215	
DRX064460	Mn_1	root	Col-0	--	#NAME?	PRJDB5141	23638602	0.92	
DRX064461	Zn_1	root	Col-0	--	#NAME?	PRJDB5141	19507942	0.9306	
DRX064462	Cu_1	root	Col-0	--	#NAME?	PRJDB5141	18186495	0.9255	
DRX064463	Mo_1	root	Col-0	--	#NAME?	PRJDB5141	20974220	0.9185	
DRX066826	ibm1_RNA_A1	--	Col-0	ibm1	--	PRJDB5192	14813397	0.9282	
DRX066829	ibm1 ldl2_RNA_A1	--	Col-0	ibm1 ldl2	--	PRJDB5192	15036304	0.9206	
DRX066832	WT_RNA_B1	--	Col-0	wild type	--	PRJDB5192	14026572	0.8632	
DRX066835	ldl2_RNA_B1	--	Col-0	ldl2	--	PRJDB5192	14315521	0.8852	
DRX066838	suvh456_RNA_B1	--	Col-0	suvh456	--	PRJDB5192	17577240	0.8842	
DRX078165	Arabidopsis thaliana WT_untreated_rep1	whole plant	Col-0	wild type	Mock	PRJDB5481	10811031	0.8891	
DRX078168	Arabidopsis thaliana WT_LPStreated_rep1	whole plant	Col-0	wild type	LPS	PRJDB5481	10642849	0.9451	
DRX078171	Arabidopsis thaliana atlbr-2_untreated_rep1	whole plant	Col-0	atlbr-2	--	PRJDB5481	10930370	0.945	
DRX078174	Arabidopsis thaliana atlbr-2_LPStreated_rep1	whole plant	Col-0	atlbr-2	--	PRJDB5481	12017778	0.9402	
DRX084079	WT_mock_replicate1	seedlings	Col-0	wild type	Mock	PRJDB5672	19551375	0.8544	
DRX084082	WT_IAA_replicate1	seedlings	Col-0	wild type	IAA	PRJDB5672	27997673	0.7994	
DRX084085	WT_cvxIAA_replicate1	seedlings	Col-0	wild type	cvxIAA	PRJDB5672	25252507	0.8733	
DRX084088	35S-TIR1_mock_replicate1	seedlings	Col-0	35S-TIR1	--	PRJDB5672	18906280	0.9089	
DRX084091	35S-TIR1_IAA_replicate1	seedlings	Col-0	35S-TIR1	--	PRJDB5672	25783850	0.8192	
DRX084094	35S-TIR1_cvxIAA_replicate1	seedlings	Col-0	35S-TIR1	--	PRJDB5672	20266863	0.8222	
DRX084097	35S-ccvTIR1_mock_replicate1	seedlings	Col-0	35S-ccvTIR1	--	PRJDB5672	20368375	0.9135	
DRX084100	35S-ccvTIR1_IAA_replicate1	seedlings	Col-0	35S-ccvTIR1	--	PRJDB5672	23916293	0.9158	
DRX084103	35S-ccvTIR1_cvxIAA_replicate1	seedlings	Col-0	35S-ccvTIR1	--	PRJDB5672	17035803	0.9019	
DRX099517	Control_1	root	Col-0	wild type	Mock	PRJDB6370	3249209	0.9453	
DRX099520	B-deprived_1	root	Col-0	--	azomethine (boron deprivation) 1h	PRJDB6370	3019484	0.9468	
DRX099523	Masked_1	root	Col-0	--	azomethine (boron deprivation) +  boric acid 1h	PRJDB6370	3382899	0.9526	
ERX1043124	Col-0_mRNAseq_rep1	leaves	Col-0	wild type	--	PRJEB9919	10710447	0.9477	
ERX1043128	met1-3_mRNAseq_rep2	leaves	Col-0	met1-3 mutant	--	PRJEB9919	14328071	0.9316	
ERX1043130	Col-0xmet1-3_mRNAseq_rep1	leaves	Col-0	wild type x met1-3 mutant	--	PRJEB9919	8597602	0.9422	
ERX1043133	met1-3xCol-0_mRNAseq_rep1	leaves	Col-0	met1-3 mutant x wild type	--	PRJEB9919	7792900	0.9409	
ERX1104310	PICOT_WT_R1	seedlings	Col-0	wild type	--	PRJEB10937	40156250	0.8869	
ERX1268131	Sample 10_part 1	leaves	Col-0	sid2	--	PRJEB12204	17715306	0.8713	
ERX1268134	Sample 11_part 1	leaves	Col-0	sid2	--	PRJEB12204	19990776	0.8931	
ERX1268137	Sample 12_part 1	leaves	Col-0	sid2	--	PRJEB12204	16004428	0.8902	
ERX1268147	Sample 1_part 1	leaves	Col-0	wild type	--	PRJEB12204	13175725	0.8856	
ERX1268155	Sample 2_part 1	leaves	Col-0	wild type	--	PRJEB12204	13135193	0.8749	
ERX1268158	Sample 3_part 1	leaves	Col-0	wild type	--	PRJEB12204	19795598	0.8917	
ERX1268161	Sample 4_part 1	leaves	Col-0	sid2	--	PRJEB12204	14476734	0.8795	
ERX1268164	Sample 5_part 1	leaves	Col-0	sid2	--	PRJEB12204	21815636	0.882	
ERX1268167	Sample 6_part 1	leaves	Col-0	sid2	--	PRJEB12204	13789005	0.8895	
ERX1268170	Sample 7_part 1	leaves	Col-0	wild type	--	PRJEB12204	14145346	0.8489	
ERX1268173	Sample 8_part 1	leaves	Col-0	wild type	--	PRJEB12204	12057476	0.8902	
ERX1268176	Sample 9_part 1	leaves	Col-0	wild type	--	PRJEB12204	14762757	0.8985	
