split,gene,chrom,tss
train,AT1G01010,1,3631
train,AT1G01020,1,9130
train,AT1G01030,1,13714
train,AT1G01040,1,23121
train,AT1G01050,1,33171
train,AT1G01060,1,37871
train,AT1G01070,1,41017
train,AT1G01080,1,47059
train,AT1G01090,1,49304
train,AT1G01100,1,51210
train,AT1G01110,1,51953
train,AT1G01120,1,59215
train,AT1G01130,1,63811
train,AT1G01140,1,67774
train,AT1G01150,1,72138
train,AT1G01160,1,72339
train,AT1G01170,1,74737
train,AT1G01180,1,75390
train,AT1G01190,1,84946
train,AT1G01200,1,88409
train,AT1G01210,1,88622
train,AT1G01220,1,91342
train,AT1G01225,1,95935
train,AT1G01230,1,97412
train,AT1G01240,1,99865
train,AT1G01250,1,105330
train,AT1G01260,1,108946
train,AT1G01270,1,111961
train,AT1G01280,1,112263
train,AT1G01290,1,114202
train,AT1G01300,1,116784
train,AT1G01305,1,119381
train,AT1G01310,1,120154
train,AT1G01320,1,130577
train,AT1G01335,1,130736
train,AT1G01340,1,135924
train,AT1G01350,1,136090
train,AT1G01355,1,138489
train,AT1G01360,1,141870
train,AT1G01370,1,143489
train,AT1G01380,1,147043
train,AT1G01390,1,149848
train,AT1G01400,1,152210
train,AT1G01410,1,153113
train,AT1G01420,1,156178
train,AT1G01430,1,158823
train,AT1G01440,1,162953
train,AT1G01448,1,163278
train,AT1G01450,1,165517
train,AT1G01453,1,168088
train,AT1G01460,1,168559
train,AT1G01470,1,172948
train,AT1G01480,1,175706
train,AT1G01490,1,182749
train,AT1G01500,1,185033
train,AT1G01510,1,187145
train,AT1G01520,1,190408
train,AT1G01530,1,193670
train,AT1G01540,1,195645
train,AT1G01550,1,199527
train,AT1G01560,1,202103
train,AT1G01570,1,204935
train,AT1G01580,1,208995
train,AT1G01590,1,214150
train,AT1G01600,1,218834
train,AT1G01610,1,224351
train,AT1G01620,1,227543
train,AT1G01630,1,228799
train,AT1G01640,1,232630
train,AT1G01650,1,237905
train,AT1G01660,1,242703
train,AT1G01670,1,246054
train,AT1G01680,1,248440
train,AT1G01690,1,249041
train,AT1G01695,1,252626
train,AT1G01700,1,261667
train,AT1G01710,1,262828
train,AT1G01715,1,266333
train,AT1G01720,1,267993
train,AT1G01725,1,270859
train,AT1G01730,1,270797
train,AT1G01740,1,274930
train,AT1G01750,1,275188
train,AT1G01760,1,278599
train,AT1G01770,1,278600
train,AT1G01780,1,282761
train,AT1G01790,1,284350
train,AT1G01800,1,293246
train,AT1G01810,1,295207
train,AT1G01820,1,298334
train,AT1G01830,1,302310
train,AT1G01840,1,303537
train,AT1G01860,1,306310
train,AT1G01870,1,306384
train,AT1G01880,1,309541
train,AT1G01890,1,309347
train,AT1G01900,1,310169
train,AT1G01910,1,316090
train,AT1G01920,1,315983
train,AT1G01930,1,322895
train,AT1G01940,1,322886
train,AT1G01950,1,325316
train,AT1G01960,1,337912
train,AT1G01970,1,338241
train,AT1G01980,1,342040
train,AT1G01990,1,344400
train,AT1G02000,1,345516
train,AT1G02010,1,347613
train,AT1G02020,1,355124
train,AT1G02030,1,357258
train,AT1G02040,1,359078
train,AT1G02050,1,360746
train,AT1G02060,1,363142
train,AT1G02065,1,365165
train,AT1G02067,1,367166
train,AT1G02070,1,371090
train,AT1G02080,1,373335
train,AT1G02090,1,389808
train,AT1G02100,1,389812
train,AT1G02110,1,392831
train,AT1G02120,1,395689
train,AT1G02130,1,401919
train,AT1G02140,1,404456
train,AT1G02145,1,404600
train,AT1G02150,1,408622
train,AT1G02160,1,410744
train,AT1G02170,1,411664
train,AT1G02180,1,414649
train,AT1G02190,1,415074
train,AT1G02205,1,418416
train,AT1G02210,1,427811
train,AT1G02220,1,430720
train,AT1G02230,1,436922
train,AT1G02250,1,439559
train,AT1G02260,1,442972
train,AT1G02270,1,446296
train,AT1G02280,1,450426
train,AT1G02290,1,452743
train,AT1G02300,1,453107
train,AT1G02305,1,455688
train,AT1G02310,1,460831
train,AT1G02320,1,461828
train,AT1G02330,1,463618
train,AT1G02335,1,464981
train,AT1G02340,1,467880
train,AT1G02350,1,469818
train,AT1G02360,1,473336
train,AT1G02370,1,474373
train,AT1G02380,1,476945
train,AT1G02390,1,480650
train,AT1G02400,1,486800
train,AT1G02405,1,490627
train,AT1G02410,1,490860
train,AT1G02420,1,493639
train,AT1G02430,1,496332
train,AT1G02440,1,497555
train,AT1G02450,1,498539
train,AT1G02460,1,507268
train,AT1G02470,1,513721
train,AT1G02475,1,515422
train,AT1G02480,1,515494
train,AT1G02490,1,516569
train,AT1G02500,1,518091
train,AT1G02510,1,521668
train,AT1G02520,1,523536
train,AT1G02530,1,529679
train,AT1G02540,1,535699
train,AT1G02550,1,536483
train,AT1G02560,1,537740
train,AT1G02570,1,541236
train,AT1G02575,1,543011
train,AT1G02580,1,544733
train,AT1G02590,1,552761
train,AT1G02600,1,552640
train,AT1G02610,1,556152
train,AT1G02620,1,557092
train,AT1G02630,1,562598
train,AT1G02640,1,564018
train,AT1G02650,1,568558
